"Country","Year","Sex","Age group","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Canada",2007,"Men","45-49",5.32871418157787,5.13778784739327,5.52532003959522,4.08994175939355,3.96652178233583,4.21310484356171,1.20264885990475,1.13702471800896,1.26745019810805
"Canada",2007,"Men","50-54",5.32598526960192,5.1286634227331,5.52463699705138,4.07858166461355,3.95268275180836,4.20596493359767,1.21014802145151,1.14336752730128,1.2764019246905
"Canada",2007,"Men","55-59",5.2726848127584,5.07339949067368,5.47501817968921,4.01443056547243,3.8850231139267,4.14539671608086,1.21958484492168,1.15163587312539,1.28691832087174
"Canada",2007,"Men","60-64",5.18025057499476,4.97510193005993,5.38432562343323,3.91167830181209,3.77836817183151,4.04661693111259,1.22797691790343,1.15942868735855,1.29636779880694
"Canada",2007,"Men","65-69",5.06088896805921,4.85338325560179,5.2677298235824,3.78447222893876,3.64628666776105,3.9259478170429,1.23434561760752,1.16632974083511,1.30243175798124
"Canada",2007,"Men","70-74",4.92757505150068,4.71678036784093,5.1369513246698,3.64691721762299,3.50307416331338,3.79555882435565,1.23971611086739,1.17147719257369,1.30828458186079
"Canada",2007,"Men","75-79",4.79331730433774,4.56675267929395,5.00978081617663,3.51311629148162,3.35023657735855,3.67854840653646,1.24520068580437,1.17308871814647,1.31610915579013
"Canada",2007,"Men","80-84",4.67112420558891,4.41515194257851,4.92627006460849,3.39717247413148,3.18799447842612,3.60481063245631,1.25191163053983,1.17300226995081,1.33042013420342
"Canada",2007,"Men","85plus",4.55307539751463,4.19577148443696,4.91838470100246,3.29732133212557,2.95737135187232,3.65329381563513,1.26406569418165,1.15881448507991,1.36968510349661
"Canada",2008,"Men","18-19",3.99518055150026,3.82855049527457,4.16008134590489,2.71291749788871,2.56808083042199,2.85833302529876,1.23223651084416,1.16418264560766,1.29988365834145
"Canada",2008,"Men","20-24",4.28697752554262,4.13170810919596,4.4418933722585,3.01586759021912,2.89150154364294,3.13765989155694,1.22764915398368,1.16344688190291,1.29064763924132
"Canada",2008,"Men","25-29",4.63632537886769,4.48033436736793,4.79115597856679,3.37905375812989,3.26509606460848,3.48930245138105,1.21949914300391,1.1570281176664,1.27986443199681
"Canada",2008,"Men","30-34",4.90867783892187,4.74445674598754,5.07598677621125,3.66200470748733,3.55042307754713,3.7709913584816,1.21119533915569,1.15013271397723,1.27120194845548
"Canada",2008,"Men","35-39",5.10672625531978,4.93302623921643,5.28425172546976,3.86655016705638,3.7521529774755,3.97960851948309,1.2046539778613,1.14269739145805,1.26696140852767
"Canada",2008,"Men","40-44",5.23316197767607,5.05186594785641,5.41984318452102,3.994519865602,3.8755278132159,4.1108215430031,1.20179129454303,1.13955536725165,1.26488717226965
"Canada",2008,"Men","45-49",5.29086015601759,5.1054589121966,5.48115731330864,4.047999909459,3.92578542658413,4.16744881908976,1.20441939667874,1.14146604409237,1.26825647383383
"Canada",2008,"Men","50-54",5.28692334985283,5.09466291388809,5.48155981948607,4.03497308906849,3.90940368042818,4.15672152364528,1.21195544902492,1.14708972114712,1.2769797791337
"Canada",2008,"Men","55-59",5.2326815281719,5.0364844741539,5.43183505885453,3.96931887897795,3.84067312375735,4.09493842835207,1.22142167361665,1.15580669891736,1.28735686654963
"Canada",2008,"Men","60-64",5.139674305231,4.94097304392914,5.34191238333847,3.86517677342135,3.7324602202219,3.99698164235877,1.2298238317085,1.16276957018688,1.29544885538414
"Canada",2008,"Men","65-69",5.02003572692548,4.81787615509781,5.22297365258708,3.73677003531525,3.60101412612909,3.87398944753292,1.23618402932484,1.16968156710359,1.30144737186495
"Canada",2008,"Men","70-74",4.88649427078986,4.68117065267753,5.09089089513794,3.59840569625889,3.45540369182745,3.74512811535847,1.24154071725978,1.17538798393993,1.30788733188261
"Canada",2008,"Men","75-79",4.7518042592125,4.52940006041288,4.96795456589157,3.46439442996811,3.30420293380708,3.62689248745603,1.24702001347138,1.17826480394737,1.31612297717305
"Canada",2008,"Men","80-84",4.62872001458179,4.37764950987363,4.87679108555909,3.34904691015877,3.14248824185709,3.55436581104091,1.25374803591764,1.17708342638176,1.33018778903647
"Canada",2008,"Men","85plus",4.50845546048684,4.15688631921848,4.86616825835941,3.25146735802944,2.91626583864501,3.60606991877255,1.26597864555181,1.16182062476661,1.36974834482234
"Canada",2009,"Men","18-19",3.97349698430177,3.80694474677772,4.13625543357637,2.69023276538109,2.54527552121117,2.83617724528154,1.23408688917126,1.16743114703062,1.30023593192456
"Canada",2009,"Men","20-24",4.26171129572298,4.10979532822872,4.41357144263394,2.98946430089652,2.86622383158895,3.11191276901154,1.22951976587692,1.1664568256248,1.29033795805797
"Canada",2009,"Men","25-29",4.60706876342775,4.45383171937315,4.76051678715501,3.34827326613813,3.23682767178417,3.45682278826668,1.22139270656255,1.1598172788201,1.28079863036368
"Canada",2009,"Men","30-34",4.87650672275675,4.71498705710369,5.03961594534612,3.62777155384772,3.51768528847162,3.73512067405336,1.21310876287732,1.15384740367505,1.27262469973095
"Canada",2009,"Men","35-39",5.07243782832114,4.90257933029614,5.24640883695211,3.82959391045804,3.7163338028774,3.94206697210133,1.20658851750108,1.14632336992289,1.26639471877583
"Canada",2009,"Men","40-44",5.1972747347321,5.02116978888077,5.37716664752921,3.95537508240183,3.83811272148695,4.07034343023047,1.20375255311368,1.14246181699404,1.26431326301192
